date,content_id,type,title,video_path,products
2026-08-19T19:35:57.156303,4,product,"이 에어프라이어, 정말 잘 튀기나?",/home/user/Soop1230/channel_food/output/food_shorts_4.mp4,"10L 디지털 에어프라이어 (터치식), 실리콘 조리도구 10종 세트, 10L 디지털 에어프라이어 (터치식)"
2026-08-19T19:39:09.828045,2,recipe,너무 쉬운 라면 업그레이드,/home/user/Soop1230/channel_food/output/food_shorts_2_noaudio.mp4,"신라면 매운맛 멀티팩 (5입), 계란 30구 (무항생제 방목계란), 테플론 코팅 팬 3종 세트 (20cm, 24cm, 28cm)"
2026-08-19T19:44:38.404124,1,recipe,1분 계란말이 만드는 법,/home/user/Soop1230/channel_food/output/food_shorts_1_noaudio.mp4,"계란 30구 (무항생제 방목계란), 테플론 코팅 팬 3종 세트 (20cm, 24cm, 28cm)"
2026-08-19T19:49:02.803520,6,product,냉동 만두로 집에서 만든 튀김,/home/user/Soop1230/channel_food/output/food_shorts_6_noaudio.mp4,"프리미엄 냉동만두 (1kg), 프리미엄 냉동만두 (1kg)"
2026-08-19T19:49:33.047376,8,review,편의점 컵라면 순위 정했다,/home/user/Soop1230/channel_food/output/food_shorts_8_noaudio.mp4,"컵라면 3종 인기 세트 (신라면컵, 진라면컵, 안성탕면), 신라면 매운맛 멀티팩 (5입)"
2026-08-19T20:24:04.916157,5,recipe,밤 11시 라면만큼 좋은 야식,/home/user/Soop1230/channel_food/output/food_shorts_5_noaudio.mp4,"프리미엄 돈까스 소시지 (400g), 스파게티 1.7mm (1kg), 토마토 파스타 소스 (500ml)"
2026-08-19T21:09:21.114978,3,review,GS25 신상 편의점 음식 먹어봤어,/home/user/Soop1230/channel_food/output/food_shorts_3_noaudio.mp4,"컵라면 3종 인기 세트 (신라면컵, 진라면컵, 안성탕면), 새우튀김 냉동세트 (500g), 편의점 인기 간식 모음 세트"
2026-08-20T10:30:46.991102,7,recipe,밥 없이 먹는 계란까스,/home/user/Soop1230/channel_food/output/food_shorts_7_noaudio.mp4,"계란 30구 (무항생제 방목계란), 테플론 코팅 팬 3종 세트 (20cm, 24cm, 28cm)"
2026-08-20T10:31:15.199628,7,recipe,밥 없이 먹는 계란까스,/home/user/Soop1230/channel_food/output/food_shorts_7_noaudio.mp4,"계란 30구 (무항생제 방목계란), 테플론 코팅 팬 3종 세트 (20cm, 24cm, 28cm)"
2026-08-20T10:31:33.270667,4,product,"이 에어프라이어, 정말 잘 튀기나?",/home/user/Soop1230/channel_food/output/food_shorts_4_noaudio.mp4,"10L 디지털 에어프라이어 (터치식), 실리콘 조리도구 10종 세트, 10L 디지털 에어프라이어 (터치식)"
2026-08-20T10:31:46.654780,2,recipe,너무 쉬운 라면 업그레이드,/home/user/Soop1230/channel_food/output/food_shorts_2_noaudio.mp4,"신라면 매운맛 멀티팩 (5입), 계란 30구 (무항생제 방목계란), 테플론 코팅 팬 3종 세트 (20cm, 24cm, 28cm)"
2026-08-20T10:32:05.202222,2,recipe,너무 쉬운 라면 업그레이드,/home/user/Soop1230/channel_food/output/food_shorts_2_noaudio.mp4,"신라면 매운맛 멀티팩 (5입), 계란 30구 (무항생제 방목계란), 테플론 코팅 팬 3종 세트 (20cm, 24cm, 28cm)"
