date,phrase_id,phrase_en,volume,video_file,youtube_video_id,status
2026-08-19,E001,How's it going?,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E002,I'm on it.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E003,Let's call it a day.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E004,No worries.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E005,I couldn't agree more.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E006,It's up to you.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E007,Long time no see.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E008,I'm running late.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E009,That makes sense.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E010,I'll keep that in mind.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E011,It's a piece of cake.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E012,I'm all ears.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E013,Break a leg!,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E014,Let me get back to you.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E015,I'm just browsing.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E016,It slipped my mind.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E017,Take your time.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E018,I'm not sure yet.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E019,Sounds good to me.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E020,I owe you one.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E021,Let's play it by ear.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E022,I'm beat.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E023,That's a bummer.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E024,I'm on the fence.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E025,Let's touch base later.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E026,It's not a big deal.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E027,I'm looking forward to it.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E028,Give me a second.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E029,I can't make it.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-08-19,E030,That rings a bell.,1,output/2026-08-19_longform_vol1.mp4,-cRhJCAcFLA,uploaded
2026-09-06,E031,I'm down for that.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E032,It's out of my hands.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E033,Let's cut to the chase.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E034,I'm here for you.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E035,That's a stretch.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E036,I'll take a rain check.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E037,It's worth a shot.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E038,I'm stuck.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E039,Let's wrap it up.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E040,I mean it.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E041,That's the spirit!,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E042,I'm in no rush.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E043,It costs an arm and a leg.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E044,Let's see how it goes.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E045,I'm counting on you.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E046,That's news to me.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E047,I'll pass this time.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E048,Let's keep in touch.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E049,I'm over the moon.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E050,That's a wrap.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E051,Hang in there.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E052,You've got this!,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E053,I'm dying to know.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E054,Let's face it.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E055,It's a long story.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E056,I'll see what I can do.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E057,That's more like it.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E058,I'm not buying it.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E059,Let's grab a bite.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E060,I'm easy.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E061,It's not my cup of tea.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E062,I'll hold you to that.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E063,That's the last straw.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E064,I'm swamped.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,,generated
2026-09-06,E065,Let's split the bill.,2,../../../_temp/longform-output/2026-09-06_longform_vol2.mp4,LT3TAn9Ri_Q,published
